person,age_at_founding,age_became_billionaire,age_education_ended,books_authored,children_in_business,co_founded,co_founder_skill_complement,consumption_index,employer_1,employer_2,employer_3,estimated_inheritance_m,estimated_lifetime_giving_m,ethnicity,family_business_type,family_office,family_office_name,family_owned_business,family_socioeconomic_class,father_occupation,first_gen_immigrant,first_institutional_investor,foundation_name,founding_detail,giving_pct_of_net_worth,giving_pledge_signatory,government_roles_held,heritage_detail,initial_funding_detail,initial_funding_type,known_art_collector,known_failed_ventures,major_lawsuits,market_position,market_position_detail,media_visibility,moat_type,moat_type_detail,mother_occupation,notable_political_positions,number_of_co_founders,number_of_companies_founded,number_of_marriages,parent_education_level,parent_immigrant,parent_immigration_detail,party,party_detail,pre_wealth_bankruptcy,primary_domain_expertise,primary_philanthropic_causes,private_jet,revenue_model_type,revenue_model_type_detail,role_at_employer_1,role_at_employer_2,role_at_employer_3,skill_profile,social_media_activity,total_pre_founding_career_years,wealth_concentration_ratio_pct,yacht,year_founded,years_at_employer_1,years_at_employer_2,years_at_employer_3,years_founding_to_1b
david_steward,39,51.0,,2,1.0,Y,"Andreas von Bechtolsheim (co-founder, engineering/networking)",medium,FedEx,Union Pacific,FedEx,0.0,1.3,african_american,,,,N,poor,Mechanic,N,,Steward Family Foundation,,,N,Missouri Financial Assistance Commission,,Self-funded/Bootstrap,self_funded,N,,,fragmented,,medium,"ip,reputation,scale",Scale / Fortune 100 relationships (80+ clients) / 14 consecutive Best Places to Work,Engineer,,1.0,1.0,1.0,unknown,N,,republican,>$5K to Trump campaign,N,IT/Technology Distribution,"Education, Jazz Studies",N,other,IT solutions/services (largest Black-owned company in US),Salesman of the Year,Sales,Sales (Salesman of the Year),sales,low,,,N,1990,,,,
david_sun,36,,,1,,Y,John Tu (business/finance complement; Tu named company after Kingston Trio),low,"AST (computer memory business, pre-Kingston)",Kingston Technology,,0.0,,"american,taiwanese",None mentioned,,,N,upper_middle,Pediatrician,Y,In-Q-Tel,Sun Family Foundation (education grants),,,N,,,Self-funded / Bootstrapped,self_funded,,,,fragmented,,low,scale,Scale (#1 independent memory maker globally) / Cost efficiency,,Self-identifies as socialist; supports Western defense tech; ICE/Israel contracts controversial,1.0,2.0,,,Y,,independent,Left-leaning (self-identified socialist,N,Hardware / Memory & Storage,"$100M Hoag Hospital cancer center, $50M expansion",,other,"Memory products (DRAM, SSDs, flash)",Co-founder,COO / Co-founder,,"ops,tech",,3.0,80.0,,1987,,,,9.0
david_tepper,35,43.0,,0,,N,,high,Republic Steel,Goldman Sachs,Goldman Sachs,0.0,500.0,"american,white",None mentioned,Y,Appaloosa Management,N,lower_middle,Accountant,N,,,,,Y,,Jewish heritage,Self-funded from Goldman severance/savings,self_funded,,,,fragmented,,medium,reputation,Track record (one of best risk-adjusted returns in HF history) / Macro timing,,Unknown,0.0,1.0,1.0,,N,Pittsburgh working class,democrat,supported both parties,N,"Distressed debt, credit markets, macro","Education (Carnegie Mellon $125M+), food banks, community",Y,financial_services,"Hedge fund fees, distressed debt investing",Treasury analyst,Credit analyst → Head of high-yield desk,Head of junk bond desk,finance,,10.0,100.0,,1993,,8.0,,
david_trone,35,,,0,2.0,Y,Brother (Robert Trone),medium,Prudential-Bache Securities,,,,35.0,american,Banking / Financial Services,,,N,middle,,N,,The Trone Family Foundation,,3.5,N,"US House of Representatives (2019-2025, MD-6)",White,Self-Funded,self_funded,,,Alleged campaign finance violation investigation (2018),fragmented,,medium,scale,Scale / Purchasing Power,,US Congressman 2019-2025; Ran for MD Senate 2024 (lost primary),1.0,1.0,1.0,,,,democrat,,N,Banking / Distressed Asset Turnaround,Higher Education,Y,retail,"Largest independent wine/spirits retailer in US (250+ stores, $6B+ revenue)",,,,finance,medium,,,,1991,,,,
david_velez,30,,,0,,Y,,medium,Morgan Stanley,General Atlantic,Sequoia Capital,200.0,,"american,colombian",Bass Enterprises/Oil & Gas,,,Y,wealthy,Oil investor/businessman,Y,,,,,Y,,,Inherited,inheritance,,,,winner_take_most,,medium,"brand,network_effects,scale",Network effects / Brand / Scale,,,2.0,1.0,,,Y,,independent,,,Oil & Gas / Ranching,Education in Latin America,,financial_services,"Digital banking, credit cards, lending, insurance (100M+ customers, largest digital bank globally)",Investment banking,Private equity,Partner,"finance,ops",medium,,,,2013,,,,
david_walentas,,,,0,1.0,N,,,Tesla,,Redwood Materials,0.0,100.0,american,None/Farm,,,N,working,,N,Accel,,,,N,,,Debt/Borrowed,debt_financing,,,,fragmented,,,location,Location/Geographic,,,,1.0,,,N,,,,,Real Estate Development,"First-generation college students, education",,other,Rent/Lease,Co-Founder / Chief Technology Officer,,Founder and CEO,ops,,,,,1968,15.0,,,
david_zalik,,,,0,,Y,,high,Self-founded computer parts business,,,,,"american,israeli",None mentioned,,,N,wealthy,Mathematics professor,Y,,,,,,,,,,Y,,,fragmented,,medium,network_effects,Network effects (contractor/bank network),,,1.0,2.0,,graduate_professional,Y,"from Israel, age 4",,,,Financial technology / lending,Arts/Culture (Metropolitan Museum of Art; Chinese art galleries),,transaction_commission,Transaction fee / loan facilitation,Founder/Owner,,,"finance,tech",,,,,2006,,,,
dean_solon,,,,0,,N,,,Automotive parts manufacturing (self-employed),,,,,,Air conditioning repair/service,,,N,wealthy,Air conditioning repair technician,N,,,,,,,,,,,,,fragmented,,,brand,"Product reliability, safety, ease of installation; premium brand",,,,1.0,,,,,,,,Electrical/solar energy systems manufacturing,,,,,Designer and manufacturer,,,"ops,tech",,,40.0,,1996,,,,
denise_debartolo_york,25,32.0,,0,1.0,N,,medium,DeBartolo family company,Pittsburgh Penguins (NHL),San Francisco 49ers,,1000.0,"american,white",Sports/Real Estate/Healthcare,Y,,Y,wealthy,Edward DeBartolo Sr. (shopping mall magnate),N,,Robin Hood Foundation,,,Y,,,Self-funded,self_funded,,,Brother Edward DeBartolo Jr. guilty plea (1998 gambling fraud scandal) led to transfer of 49ers control to Denise York,winner_take_most,,low,"brand,regulatory",Exclusive NFL franchise license,,,1.0,3.0,2.0,college,N,,independent,Bipartisan (has donated to both parties),N,Sports ownership / Family business management,"NYC poverty (Robin Hood raised $3B+), conservation (Everglades), economic education",,management_fees,Global macro trading (~$12B AUM),HR department builder,President,Owner/Chairman,ops,low,,90.0,,1980,,,1980.0,
denise_prenosil,,,,0,,N,,,Accel,Aspect Ventures,Acrew Capital,,,"american,indonesian",Sporting goods retail,,,Y,wealthy,Unknown (persuaded daughter to stay in engineering),Y,,,,,,,,,,,,,,,high,,,,,0.0,2.0,,,Y,implied by 'American dreamer' quote and father's influence,,,,Venture Capital,"Education, Poverty Alleviation",,,,Partner (first female partner),Co-Founder,Founder,finance,,15.0,5.0,,2019,15.0,5.0,,
dennis_gillings,,,,0,,N,,,University (biostatistics professor),Quintiles Transnational,,,,"american,haitian",,,,N,,,Y,Accel,,,,,,,,,,,,,,,ip,Patents/IP,,,,1.0,,,,,,,,Healthcare/Biotech,,,,,Professor of Biostatistics,Founder and CEO/Chairman,,"finance,science",,,15.0,,1982,,,,
dennis_washington,18,,18.0,0,1.0,N,,medium,Uncle's construction business,Washington Construction,,0.0,,"american,white",None mentioned,Y,Washington Companies,N,working,"Father provided $75,000 loan (businessman/investor implied)",N,,Dennis and Phyllis Washington Foundation,,,Y,,,Debt/Loan,debt_financing,N,,Montana Superfund site (Anaconda copper mine),winner_take_most,,low,scale,Scale/Diversified Infrastructure,,Presidential Medal of Freedom recipient (2019),0.0,2.0,2.0,,N,,republican,,N,Construction/Heavy Equipment/Mining/Marine,Community/General philanthropy,Y,"construction,diversified,energy_resources","Diversified: mining (copper), rail (Montana Rail Link), marine (Seaspan), construction",Construction worker,Founder/Owner,,ops,low,10.0,,Y,1952,,61.0,,
derek_stevens,,,,0,,Y,Brother (co-owner),high,Cold Heading Co.,The Golden Gate,The D (formerly Fitzgerald's),,,"american,white",Fastener manufacturing for auto industry,,,Y,wealthy,Manufacturing executive (Cold Heading Co.),N,,,,,,,"Grosse Pointe, Michigan",Family/personal capital,self_funded,,,,fragmented,,,,,,,1.0,3.0,,,,,,,,Casino/hospitality and manufacturing,,,"food_beverage,healthcare,media_entertainment",Gaming/hospitality revenue,CEO,Co-owner / Owner,Owner,"finance,ops",,3.0,,,2020,3.0,,,
diane_hendricks,35,57.0,18.0,1,,Y,Ken Hendricks (roofer/operations); Diane (sales),medium,Parker Pen Company,Custom home builder (unnamed),ABC Supply,0.0,,"american,white",Dairy farming,,,N,poor,"Dairy farmer (one of 9 sisters, Osseo WI)",N,,Hendricks Family Foundation,,,N,,,Self-funded / bootstrapped,self_funded,,,,fragmented,,medium,scale,Scale (#1 wholesale roofing distributor US) / 970+ branches,Homemaker / dairy farmer,Vice-Chair Trump Victory; Scott Walker mega-donor; $5M MAGA Inc 2024,1.0,1.0,2.0,high_school,N,,republican,largest political donor in WI history,N,Building materials distribution,"Local economic development, community rebuilding",Y,construction,Wholesale roofing/building materials distribution,Pen assembler (age 17),Sales / Custom home sales,Co-Founder / Chair,"ops,sales",low,,100.0,N,1982,,,44.0,
dick_portillo,24,,,0,,N,,high,,,,0.0,,"american,italian",,,,N,working,,N,,,,,N,,,Personal savings,self_funded,N,,"Harassment allegations (2014), denied; investigation found no harassment but errors of judgment",fragmented,,medium,brand,Brand / Regional loyalty,,,0.0,2.0,,,,,republican,,N,Restaurant operations,"Veterans, military causes",Y,food_beverage,Restaurant / Food Service,,,,"ops,sales",low,,,Y,1963,,,,51.0
dick_wolf,,,,0,,N,Alexandr Wang,high,Benton & Bowles (advertising),Scale AI,Passes,0.0,,"american,chinese",,,,N,,Electrical Engineer,N,,,,,,,,,,,,,,,medium,"brand,ip,network_effects",Brand/franchise network effects; profit participation deal,Electrical Engineer,,1.0,2.0,,,Y,,,,,Television production / franchise development,,,media_entertainment,"Law & Order franchise (1,500+ episodes across all spinoffs); Chicago franchise (Fire, PD, Med); FBI franchise; Wolf Entertainment deal with NBCUniversal",Copywriter,Co-Founder,Founder and CEO,"creative,sales",,0.0,,,2016,,2.0,,
dirk_ziff,30,,,,0.0,N,,low,Procter & Gamble,Ziff Brothers Investments,Ziff Capital Partners,,,"american,white",Publishing (Ziff Davis),Y,family investments. Named after grandfather,Y,wealthy,Publisher / built up Ziff Davis publishing company,N,,Dirk Ziff Foundation,,,Y,,,Inherited wealth,inheritance,,,,winner_take_most,,low,"network_effects,switching_costs",Tax season lock-in / SMB accounting dominance / Network effects,,,1.0,1.0,1.0,,,,,,N,Investment Management / Family Office,Education; ed-tech impact investing,,financial_services,"Tax software (TurboTax), accounting (QuickBooks), personal finance (Credit Karma)",Brand manager,Principal / investor,Founder / Principal,finance,low,,2.7,,2015,,20.0,11.0,
don_ahern,18,,18.0,0,2.0,N,"Zach McLeroy (childhood friend, co-founder)",high,Los Arcos Equipment,Ahern's Trailer and Equipment Rental,Xtreme Manufacturing,,,"american,irish",Equipment rental,,,Y,wealthy,Equipment rental business owner (Ahern's Trailer and Equipment Rental),N,,,,,N,"Finance Chair, Nevada State Republican Party",,Self-funded/bootstrapped,self_funded,,Legal disputes over Snorkel acquisition,Lawsuit with Snorkel co-owners; legal disputes related to business acquisitions,fragmented,,medium,,,,"Finance chair, Nevada State Republican Party; Trump supporter; hosts conservative events at Ahern Luxury Boutique Hotel",0.0,2.0,1.0,,,,republican,,N,Construction equipment rental,,Y,other,Equipment rental/manufacturing,Founder/Owner,Owner (purchased from father),Founder/Owner,"ops,sales",low,0.0,30.0,,1978,12.0,32.0,,30.0
don_hankey,28,,,0,1.0,N,Solo,low,Father's Los Angeles Ford dealership,Father's Los Angeles Ford dealership,,,,"american,white",Auto dealership,Y,,N,middle,Ford dealership owner,N,,,,,N,,,Personal capital / bootstrapped,self_funded,,,,fragmented,,low,scale,Scale / dealer network / niche lending,,"Focus on profitable businesses, 30% pretax ROE target",0.0,1.0,2.0,,Y,,republican,,N,Subprime auto lending / financial services,"Healthcare, USC, community organizations",Y,"financial_services,real_estate","Subprime auto lending, insurance, real estate ($8B+ loan portfolio)",Lot boy / car salesman,Owner/operator,,"finance,ops,sales",low,,95.0,,1972,,,,
don_levin,57,,,0,,N,Childhood friend and business partner (Marco DeGeorge),,Adams Apple (head shop),D.R.L. Enterprises / distribution company,,,,"american,jewish",Used car sales,,,N,lower_middle,Used car salesman,N,,,,,N,,,Self-funded,self_funded,,,Federal tobacco regulation disputes,winner_take_most,,low,"brand,distribution,scale",Brand / distribution scale,,,1.0,2.0,,,,,,,,Consumer goods / tobacco accessories,,,product_sales,Product sales,Owner,Founder/Owner,,"ops,sales",low,,,,2007,,,,
don_vultaggio,39,,,0,0.0,Y,"John Ferolito (co-founder, bought out ~$1B)",low,Self-employed (beer/soda distribution),AriZona Beverages,Arista Networks,0.0,,"american,italian",None mentioned,,,N,working,,N,,,,,N,,,Self-funded/Bootstrap,self_funded,,,"Shareholder dispute with John Ferolito; settled ~2015, buyout ~$1B",fragmented,,low,"brand,ip,scale",$0.99 price point / Brand loyalty / Massive can size / Private ownership allows margin sacrifice,,,1.0,1.0,,,Y,"First-Gen context: born London, raised India",,,,Beverage distribution and sales,,,food_beverage,Beverages ($3B+ estimated revenue; famous $0.99 price point never raised despite decades of inflation),Distributor/Driver,Co-Founder/Owner,President and CEO,"ops,sales",low,20.0,100.0,,1992,,34.0,18.0,20.0
donald_bren,32,56.0,22.0,,0.0,N,"Kohlberg (originator/mentor), Roberts (deal execution/West Coast)",medium,US Marine Corps,Father's construction/real estate,,0.0,2100.0,"american,white",Real estate investment,Y,Bren Investments,N,wealthy,"Milton H. Bren — Hollywood talent agent, EVP MGM",N,KKR,Donald Bren Foundation ($137M+ assets),,11.0,N,,father Jewish,Self-funded,self_funded,Y,Bren Co. near-bankruptcy in 1973 recession,Paternity lawsuits from multiple former partners,fragmented,,low,location,"Land monopoly (93,000 acres Irvine Ranch; largest private landowner in CA)",Homemaker,,0.0,1.0,3.0,,N,,republican,major fundraiser; $1M Trump inauguration,N,Real estate,"Education (UCI, UCSB), conservation (57, 500 acres donated as open space)",Y,"construction,real_estate","Commercial/residential real estate (120M+ sq ft, 550 office buildings, 65,000+ apartment units)",Marine,Carpenter's helper,,ops,low,,100.0,N,1958,3.0,,,
donald_friese,,,,0,,,"Glyman (business/product), Lee (unknown)",low,U.S. Army,C.R. Laurence,Capital One (Paribus),0.0,145.0,"american,white",None (orphan),,,N,poor,,N,Y Combinator,Friese Family Foundation,,,N,,,Self-funded/bootstrapped,self_funded,,,,fragmented,,low,"distribution,scale,vertical_integration","Scale/Distribution (65,000+ products, vertical integration)",,,2.0,2.0,,,,,republican,,N,Industrial distribution and manufacturing (glass industry),General philanthropy,,other,Manufacturing and Distribution,Enlisted Soldier,"Warehouse worker, climbed to Owner",Cofounder / Running Paribus,"ops,sales",low,3.0,100.0,,,3.0,2.0,,
donald_newhouse,33,50.0,,0,3.0,N,Brother Si Newhouse handled magazines/broadcasting; Donald handled newspapers,low,Advance Publications,Clarium Capital (Peter Thiels fund),Twitter/Facebook/Dropbox,0.0,75.0,"american,white",Advance Publications (media empire),,,Y,wealthy,"Samuel I. Newhouse Sr. — media mogul, founded Advance Publications 1922",N,,Newhouse Foundation,,,Y,,Jewish heritage,Bootstrapped/Personal Savings,self_funded,N,,,fragmented,,low,"ip,reputation",Quality premium / 1M+ contractor network / Big Tech client relationships,Restaurant owner,,0.0,1.0,1.0,,Y,,democrat,,N,Media/Publishing,"$75M Syracuse U (2020), $20M AFTD (2021)",Y,"media_entertainment,telecom","Publishing (Conde Nast: Vogue, GQ, Vanity Fair), digital (Reddit ~30%), cable (Charter ~13%), Warner Bros Discovery ~4%",Overseer of newspaper business,,,ops,low,,75.0,,2020,,,,4.0
donald_sterling,,,,0,0.0,N,,high,Self (Trial Lawyer),Self (Real Estate),,500.0,3.0,"american,jewish",Johnson & Johnson,Y,,N,lower_middle,Heir / J&J family,N,,,,,N,,,Self-funded,self_funded,,,Forced to sell LA Clippers $2B (2014) after racist recordings leaked; wife Shelly sold team to Steve Ballmer; housing discrimination lawsuits ($2.73M DOJ settlement); banned for life from NBA,fragmented,,low,location,Location/Asset Concentration,,Pro-Trump; major GOP donor,,0.0,2.0,,Y,,republican,,N,Real Estate,Kidney research (UCLA pledge withdrawn),Y,real_estate,Beverly Hills/LA real estate ($6B+ portfolio),Trial Lawyer,Real Estate Developer/Owner,,"finance,ops",low,,,,2000,26.0,,,
donald_trump,25,42.0,22.0,19,3.0,N,,high,Trump Organization (Fred Trump),Trump Organization,Ziff Capital Partners,300.0,10.0,"american,white",Fred Trump real estate (Queens/Brooklyn),Y,,Y,wealthy,Fred Trump — NYC real estate developer ($300M+ empire),N,,Donald J. Trump Foundation,,0.1,N,45th President (2017-2021); 47th President (2025-present),German/Scottish descent,Family capital,family_capital,N,"Taj Mahal, Trump Hotels, Trump Entertainment Resorts (6 Ch.11 bankruptcies)","34 felony convictions (May 2024, business records falsification); E. Jean Carroll $88.3M verdict; Trump University $25M settlement; NY AG civil fraud $354M judgment (under appeal); 2 federal indictments (Jan 6, classified docs — dismissed/dropped)",fragmented,,high,brand,Brand,Mary Anne MacLeod Trump — homemaker / philanthropist,45th & 47th President; MAGA Republican,0.0,1.0,3.0,high_school,,Third-generation American,republican,45th & 47th President,Y,Real Estate,"Veterans, charitable organizations",Y,"food_beverage,licensing_royalties,real_estate","Real estate, licensing/branding, golf courses, hotels, Truth Social (DJT)",Employee / apprentice under father,Developer / President,Founder / Principal,"finance,ops,sales",high,3.0,50.0,N,1971,3.0,20.0,11.0,16.0
donna_macmillan,,,,0,,,,low,,,,,,"american,scottish",Food/Agriculture/Financial/Industrial,,,Y,wealthy,Business executive (Cargill),N,,,,,N,,,,,,,,fragmented,,low,"ip,scale","Scale, private ownership, family control",,,,,,,,,,,N,,,,diversified,Diversified commodity/industrial,,,,,low,,90.0,,1865,,,,
doris_fisher,38,,22.0,3,3.0,Y,Don Fisher (husband),high,,,,,15.0,american,Homebuilding,Y,Sansome Partners,N,wealthy,Real estate developer,N,,KIPP Foundation,,,N,,White,Personal savings,self_funded,Y,,,winner_take_most,,low,brand,Brand,,,1.0,2.0,1.0,,,,republican,,N,,Public charter schools / education,,product_sales,Product sales,,,,,low,,10.0,,1969,,,,
dorothy_chao_jenkins,,,,0,,Y,"Lauren Leichtman (wife, co-founder)",high,Westlake Corporation,Levine Leichtman Capital Partners,,,,"american,taiwanese",Chemicals / Polyethylene Manufacturing,,,Y,wealthy,Founder/Businessman (Westlake Corporation),N,,,,,,,,,,,,,winner_take_most,,,,,,,2.0,1.0,1.0,,Y,father immigrated from Taiwan,,,,Private Equity / Buyout,,,management_fees,Management fees / carried interest,Director,Co-Founder,,finance,,5.0,,,1986,,42.0,,
doug_meijer,21,,,0,,,,low,Trilogy Software,,,,,"american,dutch",Grocery/Retail (supercenter chain),Y,ESW Capital,Y,wealthy,Fred Meijer (expanded Meijer stores; grandfather Hendrik founded 1934),N,,,Solo or Family,,,,,,,,,,fragmented,,low,switching_costs,Legacy software lock-in,,,,2.0,,,Y,grandfather Henrik was Dutch immigrant,,,,Enterprise Software,,,"food_beverage,retail",Retail (grocery/supercenter),Founder/CEO,,,,low,,,,1934,,,,7.0
doug_ostrover,54,,,0,,Y,Co-founders with complementary capital/credit expertise,,Owl Rock Capital,GSO Capital Partners,Blackstone,,,"american,jewish",,,,N,,,N,,,,,N,,,,,,,,,,low,"network_effects,scale",Scale / AUM network effects,,,1.0,3.0,,,,,,,N,Private Credit / Alternative Asset Management,,,management_fees,Management fees / AUM-based,Co-Founder,Co-Founder,Senior Role (GSO),finance,low,,,,2016,5.0,7.0,7.0,
douglas_leone,,,,1,,N,,medium,Sun Microsystems / HP,Sun Microsystems,Sequoia Capital,,,"american,italian",,Y,,N,working,,Y,Accel,Leone Family Foundation,,,N,,"born Genoa, Italy",,,,,,,,low,,,,,0.0,1.0,1.0,,Y,Italy,,,N,Venture Capital / Tech Investing,"Education, healthcare, immigration",,management_fees,"VC ($80B+ AUM; investments: WhatsApp, YouTube, Stripe, DoorDash, Zoom, etc)",Sales/Engineer role,Sales/Technical role,Partner / Managing Partner,"finance,sales",low,8.0,,,1988,,,34.0,
douglas_rippel,,,,0,,N,,,IBM Israel,FirstCash,Zeev Ventures,,,"american,israeli",,,,N,,,Y,,,,,,,,,,,,,,,low,,,,,0.0,1.0,,,,,,,,Venture Capital,,,retail,Lease-to-own / retail installment,Employee,Board of Directors,Founding Partner,finance,,,,,2013,,3.0,,8.0
dr_dre_andre_young,27,60.0,17.0,0,0.0,N,Business/Marketing (Jimmy Iovine),high,World Class Wreckin' Cru,N.W.A.,Aftermath Entertainment,0.0,70.0,african_american,,Y,,N,working,R&B singer (The Romelles),N,,LeBron James Family Foundation,,7.0,N,,,Self-funded,self_funded,N,Carnivore (energy drink),$100M+ divorce settlement,winner_take_most,,high,brand,Brand/Network,Verna Young,,1.0,2.0,2.0,,N,domestic,democrat,,N,Music Production & Entertainment,"Education, Arts & Technology",Y,media_entertainment,"Beats Electronics (sold to Apple $3B, 2014); Aftermath Entertainment; producing",Rapper/Artist,Founding Member/Rapper/Producer,Founder/CEO/Producer,"ops,sales",high,8.0,80.0,N,1992,3.0,4.0,34.0,22.0
drayton_mclane_jr,41,,24.0,3,,N,,low,McLane Co.,Houston Astros,Siebel Systems,,150.0,american,Grocery/food distribution,Y,McLane Company (holding company),Y,wealthy,Business owner (McLane Company),N,,McLane Foundation,,,N,,White,Family business proceeds/Walmart shares,other,N,,,winner_take_most,,low,"distribution,scale",Scale/distribution network,,,0.0,2.0,1.0,,,,republican,,N,Distribution/logistics,"Higher education (Baylor University, Michigan State University)",Y,other,"McLane Company (sold to Berkshire Hathaway $1.5B, 2003); former Houston Astros owner ($104M purchase 1993, sold $680M 2011)",President and CEO,Owner,Founder/CEO,"ops,sales",,6.0,,N,1991,30.0,6.0,,
drew_houston,24,34.0,,,,Y,"Arash Ferdowsi (MIT classmate, technical)",low,Industrial robotics startup,,,,,american,Investment Banking / Private Equity,,,N,wealthy,"Jack Stephens (Stephens Inc. chairman, one of wealthiest Arkansans)",N,First Institutional Investor,,,,,U.S. Ambassador to the United Kingdom,,Y Combinator,accelerator,,,,fragmented,,medium,"network_effects,switching_costs",Network effects / Switching costs,,,1.0,1.0,,,,,republican,,,Software / Cloud Storage,,,saas_subscription,Subscription / Freemium,Employee,,,tech,,,20.0,,2007,,,,
duke_reyes,,,,0,2.0,Y,Brother (Chris Reyes),,Reyes Holdings,,,,,"american,hispanic",Food and beverage distribution,Y,,Y,wealthy,,,,,,,N,,,Family/Bootstrapped,self_funded,,,,winner_take_most,,low,"distribution,scale",Scale/Distribution network,,,1.0,1.0,,,,,republican,,,Distribution/Logistics,,,other,IT services/reseller for government,CEO,,,"ops,sales",low,,,,1974,,,,
duncan_macmillan,,,22.0,0,,Y,"Mike Bloomberg, Thomas Secunda, Charles Zegar",,US Marine Corps,Salomon Brothers,Bloomberg LP,,,"american,indian",,,,N,,,Y,,,,,Y,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,Hedge Fund / Long-Short Equity,,,,,Service Member,Employee (Investment Banking),Co-Founder,finance,,8.0,,,1981,4.0,5.0,1981.0,
dustin_moskovitz,19,24.0,21.0,0,,Y,Justin Rosenstein (Asana co-founder) - product/engineering complement; Facebook co-founders provided business/product vision,medium,Facebook,Asana,,2500.0,4000.0,"american,white",Energy pipelines / midstream,Y,Good Ventures,N,wealthy,Dan L. Duncan,N,,Good Ventures (with Cari Tuna),,33.0,Y,,"Jewish, Russian/Polish descent",Angel/VC,angel,N,,None significant,,,medium,"network_effects,switching_costs",Network effects (Facebook); Switching costs (Asana),,"Effective altruism, biosecurity, AI safety",1.0,2.0,1.0,college,N,,democrat,$45M 2020 cycle; $38M 2024 cycle,N,Software / Technology,"Global health ($300M+ Malaria Consortium), AI safety ($500M Anthropic), biosecurity, housing (CA YIMBY)",N,"advertising,saas_subscription",SaaS subscription (Asana); Advertising (Facebook),Co-Founder,Co-Founder / CEO,,tech,low,0.0,100.0,N,2004,4.0,17.0,,4.0
dwight_schar,40,,,0,,Y,"Atiyeh (technical), Lee (unknown)",,Junior high school teacher,Ryan Homes,NVHomes,,,american,,,,N,middle,,N,Y Combinator,,,,N,,White,Y Combinator (accelerator),accelerator,,NVR bankruptcy 1992,Court battle with Daniel Snyder over Washington Commanders stake,fragmented,,low,,,,,2.0,1.0,,,,,republican,,N,Finance / Fintech,"Higher education (Ashland University, children's colleges)",,"construction,product_sales",Product sales (homebuilding),Teacher,Employee (former),Founder,finance,low,6.0,,,1980,2.0,2.0,,
dylan_field,26,,27.0,0,,Y,Evan Wallace - Brown University classmate,,,,,,,"american,romanian",,,,N,,,N,Accel,,,,,,,Thiel Fellowship,other,,,,,,,,,,,1.0,1.0,,,,,,,,Data Engineering / AI,,,,,,,,tech,,,,,2012,,,,
ed_park,44,,,0,0.0,Y,Brother Todd Park (co-founder),,Athenahealth,Tanium,Devoted Health,,,"american,iraqi,israeli",IT/Cybersecurity Software,,,N,upper_middle,"Entrepreneur / Co-founder BigFix, Tanium",N,,,,,N,,,Venture Capital,venture_capital,,,,fragmented,,medium,regulatory,Regulatory/Network,,,1.0,1.0,,unknown,Y,father from Baghdad/Israel,democrat,,N,Cybersecurity / IT Software,,,financial_services,Insurance/managed care,CTO / COO,Co-Founder / CEO,CEO / Co-Founder,tech,low,,,,2017,,19.0,9.0,13.0
eddie_lampert,25,41.0,,0,,N,,medium,Goldman Sachs (risk arbitrage),ESL Investments,Spanx,,,,,,,N,middle,,N,,Sara Blakely Foundation,,,Y,,,Self-funded,self_funded,,Sears Holdings (bankruptcy 2018),Sears bankruptcy (2018); stripped assets; $57M fraud settlement; kidnapped 2003 (escaped after 2 days),fragmented,,medium,brand,Brand,,,0.0,1.0,,,,,,,N,Finance / Investment,Sara Blakely Foundation (empowering women entrepreneurs),Y,financial_services,"Hedge fund; merged Kmart/Sears (2005, $11B; drove both into bankruptcy 2018)",Risk Arbitrage,Founder / Portfolio Manager,Founder / Owner,finance,,5.0,,,1988,,7.0,2000.0,12.0
edir_macedo,,,,1,0.0,Y,Mark Attanasio (co-founder),,Universal Church of the Kingdom of God,Drexel Burnham Lambert,Crescent Capital Group,,,,,,,N,,,,,,,,,,,,,,,1992 arrest on accusations of charlatanism (11 days in jail),,,,brand,Religious brand/network,,,1.0,1.0,,,,,,,,,,,other,Donations/Tithing,Founder/Bishop,Unknown role (pre-founding),Managing Partner and Co-Founder,,,,,,1977,,,,
eduardo_vivas,,,,0,,Y,George Church – geneticist/scientist complement to entrepreneur,low,Bright.com,LinkedIn,Curated,,,,,,,N,,,,Accel,,,,,,,,,,"Humans, Inc. (shutdown 2025)",,winner_take_all,,low,"ip,technology",IP/technology – proprietary de-extinction genomics,,,1.0,3.0,,,,,,,,Product / Technology,"Conservation, de-extinction, endangered species",,other,"De-extinction genetics (woolly mammoth, dodo bird, Tasmanian tiger revival)",Co-Founder,Head of Product and Talent Solutions,Co-Founder,tech,,,,,2017,3.0,3.0,7.0,3.0
edward_bass,,,,0,,N,,medium,,,,200.0,310.0,"american,white",Bass Enterprises/Oil & Gas,Y,Bass Enterprises Production Company,Y,wealthy,Oil magnate / Businessman,N,,,,,N,,,Inherited wealth,inheritance,Y,,Biosphere 2 management disputes,fragmented,,low,"location,scale",Location/Scale in commercial RE,,,,1.0,2.0,college,N,,republican,,N,Real Estate / Energy,"Conservation, ecology, Biosphere 2",Y,other,Bass family fortune; funded Biosphere 2 experiment,,,,ops,low,,,Y,,,,,
